"id";"name";"d1";"d2";"d3";"d4";"d5"
135;"Biogen,Inc.(biib)";"14.43";"9.15";"11.71";"-1.66";"12.26"
136;"StrykerCorp.(syk)";"5.90";"4.52";"4.43";"-2.49";"4.34"
137;"CanadianNationalRailwayCo.(cni)";"8.68";"10.15";"5.86";"20.54";"7.64"
138;"DukeEnergyCorp.(duk)";"5.07";"6.22";"7.05";"9.57";"6.91"
139;"AutomaticDataProcessing,Inc.(adp)";"1.09";"6.43";"4.68";"4.02";"2.66"
140;"EOGResources,Inc.(eog)";"6.97";"6.39";"24.30";"1.01";"2,305.30"
141;"AllerganPlc(agn)";"-4.70";"-2.84";"35.09";"-39.48";"-7.16"
142;"TheCharlesSchwabCorp.(schw)";"8.85";"8.13";"7.46";"5.50";"5.75"
143;"MondelezInternational,Inc.(mdlz)";"3.25";"9.44";"7.70";"9.93";"5.00"
144;"EnterpriseProductsPartnersLP(epd)";"6.83";"9.07";"7.93";"6.17";"6.62"
145;"Tesla,Inc.(tsla)";"2.55";"-7.43";"-7.85";"-7.71";"-6.71"
146;"ChubbLtd.(cb)";"--";"--";"--";"--";"--"
147;"MonsantoCo.(mon)";"14.58";"1.70";"2,500.00";"8.47";"13.63"
148;"ThePNCFinancialServicesGroup,Inc.(pnc)";"13.94";"13.51";"12.34";"20.83";"11.21"
149;"VMware,Inc.(vmw)";"6.44";"9.42";"-4.40";"4.43";"3.34"
150;"SimonPropertyGroup,Inc.(spg)";"5.56";"5.37";"4.85";"5.72";"5.14"
151;"FedExCorp.(fdx)";"8.34";"11.25";"20.71";"7.74";"5.95"
152;"CSXCorp.(csx)";"8.94";"8.77";"6.95";"41.40";"4.59"
153;"T-MobileUS,Inc.(tmus)";"7.82";"6.71";"27.07";"5.50";"5.81"
154;"IntuitiveSurgical,Inc.(isrg)";"2.92";"2.55";"2.87";"-3,880.00";"2.98"
155;"Altaba,Inc.(aaba)";"9,943.40";"1.62";"1.63";"-4.40";"-9,923.20"
156;"SuncorEnergy,Inc.(su)";"7.53";"6.24";"10.87";"10.28";"3.24"
157;"ExpressScriptsHoldingCo.(esrx)";"8.79";"6.26";"23.31";"8.45";"8.06"
158;"Enbridge,Inc.(enb)";"10.28";"4.03";"5,112.94";"8.10";"9.23"
159;"SumitomoMitsuiFinancialGroup,Inc.(smfg)";"22.69";"10.20";"22.73";"18.51";"23.91"
160;"Intuit,Inc.(intu)";"4,900.00";"12.00";"-2,100.00";"-1,700.00";"2,400.00"
161;"OccidentalPetroleumCorp.(oxy)";"8.43";"7.05";"4.95";"1.89";"5.05"
162;"CignaCorp.(ci)";"--";"--";"--";"--";"--"
163;"Colgate-PalmoliveCo.(cl)";"5.62";"6.75";"6.78";"3.53";"6.50"
164;"CelgeneCorp.(celg)";"10.82";"10.45";"8.46";"-8,100.00";"9.88"
165;"ActivisionBlizzard,Inc.(atvi)";"4.02";"5.00";"-5.84";"1.88";"2.43"
166;"GeneralDynamicsCorp.(gd)";"8.64";"7.86";"7.99";"6.36";"7.64"
167;"UBSGroupAG(ubs)";"12.69";"13.04";"15.99";"-22.27";"9.85"
168;"BostonScientificCorp.(bsx)";"4.32";"5.55";"2.98";"-6.15";"2.83"
169;"RaytheonCo.(rtn)";"6.41";"7.90";"6.24";"3.87";"5.68"
170;"AmericaMovilSABdeCV(amx)";"10.55";"6,622.63";"9.74";"-6.09";"-4.59"
171;"BankofMontreal(bmo)";"11.78";"9.77";"7.69";"9.81";"10.50"
172;"Praxair,Inc.(px)";"4.99";"4.72";"4,900.00";"4.35";"4.20"
173;"EcopetrolSA(ec)";"13.26";"9.87";"12.12";"4.12";"4.98"
174;"AmericaMovilSABdeCV(amov)";"10.55";"6,622.63";"9.74";"-6.09";"-4.59"
175;"DominionEnergy,Inc.(d)";"4.78";"5.26";"14.70";"6.96";"4.17"
176;"HondaMotorCo.,Ltd.(hmc)";"24.43";"11.24";"52.24";"17.27";"20.29"
177;"TheSouthernCo.(so)";"-1.27";"9.36";"4.99";"11.09";"-13.48"
178;"GeneralMotorsCo.(gm)";"23.66";"11.10";"-49.03";"1.14";"24.33"
179;"EsteeLauderCos.,Inc.(el)";"1.88";"3.74";"1.25";"4.30";"2.30"
180;"INGGroepNV(ing)";"17.67";"15.42";"12.24";"16.53";"15.58"
181;"Phillips66(psx)";"15.67";"14.03";"5.83";"32.53";"8.48"
182;"WilliamsPartnersLP(wpz)";"4.41";"3.77";"-3.11";"2.80";"3.42"
183;"TheBankofNewYorkMellonCorp.(bk)";"11.07";"11.01";"11.54";"11.73";"10.12"
184;"HCAHealthcare,Inc.(hca)";"9.66";"12.82";"6.41";"5.30";"7.95"
185;"NorthropGrummanCorp.(noc)";"11.44";"6.89";"7.39";"1.78";"6.45"
186;"TargetCorp.(tgt)";"7.99";"7.17";"11.02";"4.78";"6.71"
187;"CrownCastleInternationalCorp.(cci)";"1.36";"1.52";"8,600.00";"6,974.50";"8,525.90"
188;"NorfolkSouthernCorp.(nsc)";"7.00";"7.09";"5.51";"39.67";"5.05"
189;"Humana,Inc.(hum)";"--";"--";"--";"--";"--"
190;"VertexPharmaceuticals,Inc.(vrtx)";"1.28";"2.06";"2.27";"1.02";"-2.91"
191;"S&PGlobal,Inc.(spgi)";"5.35";"5.01";"5.34";"2.99";"4.52"
192;"Zoetis,Inc.(zts)";"3.82";"3.50";"8,000.00";"2.96";"2.47"
193;"Illumina,Inc.(ilmn)";"1.88";"2.00";"1.97";"5,800.00";"1.52"
194;"MizuhoFinancialGroup,Inc.(mfg)";"15.33";"10.05";"14.68";"18.50";"11.57"
195;"ExelonCorp.(exc)";"5.42";"6.36";"19.38";"8.67";"6,400.00"
196;"Ecolab,Inc.(ecl)";"3.54";"2.48";"5.72";"3.96";"2.98"
197;"IllinoisToolWorks,Inc.(itw)";"6.38";"6.66";"6.52";"-7,600.00";"6.40"
198;"Deere&Co.(de)";"9.11";"12.10";"-5.35";"5.11";"6.42"
199;"IntercontinentalExchange,Inc.(ice)";"4.55";"4.64";"12.25";"3.69";"4.18"
